scenario_id,국가,산업,발생일,공사_운영단계,구역유형,사건유형,물질_연료,직접개시원,잠재점화원,밀폐도,환기상태,확산_전파특성,피해결과,사망자,부상자,근거유형,실제사고여부,ML사용권장,feature_hot_work,feature_flammable_gas,feature_toxic_gas,feature_combustible,feature_confinement,feature_maintenance,출처URL,확인일,한계
SC01,대한민국,건설,2013-04-08,건설,용접·화기,폭발·화재,에탄올 증기,누출 인근 용접,용접 아크·불티,미상,미상,가연성 증기와 점화원 결합,2명 사상,,,KOSHA 사고사례,예,규칙기반 feature/시나리오 검증,1,1,0,0,,0,https://oshri.kosha.or.kr/kosha/intro/busanHeadquarters_A.do?articleNo=330328&attachNo=174592&mode=download,2026-07-26,원문 요약에 사망·부상 세부 구분이 없음.
SC02,대한민국,건설,2014-10-14,건설,자재적치·수직공간,화재,폴리에틸렌 단열재,주차타워 내부 용단,용단 불티,높음,미상,단열재 착화 후 수직·인접 구역 확산 가능,3명 사상,,,KOSHA 사고사례,예,규칙기반 feature/시나리오 검증,1,0,0,1,1,0,https://oshri.kosha.or.kr/kosha/intro/busanHeadquarters_A.do?articleNo=330328&attachNo=174592&mode=download,2026-07-26,현장 치수·환기율 미공개.
SC03,미국,가스취급,1999-10-14,운영·정비,특수가스 실린더 연결부,자연발화,실란 SiH4,실린더 피팅 점검 중 누출,공기 접촉,국부,미상,공기 접촉 즉시 자연발화·누출원 인접 국부 화염,양손 2도 화상·입원,0,1,OSHA 사고조사,예,실란 연결부 고위험 feature,0,1,1,0,0,1,https://www.osha.gov/ords/imis/accidentsearch.accident_detail?id=201620275,2026-07-26,1999년 사례로 현재 설비와 직접 동일시할 수 없음.
SC04,미국,반도체,2005-04-16,예방정비,서브팹·배기라인,폭발,실란·TCS 공정 잔류물,에피택시 반응기 배기라인 정비,공기 노출·기계적 교란,배관 내부,미상,자연발화성 부산물의 배기라인 내부 폭발,1·2도 화상·입원,0,1,OSHA 사고조사,예,배기라인 정비 feature,0,1,1,0,1,1,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=119648343,2026-07-26,OSHA 조사요약의 공정 설명을 사용.
SC05,미국,화학제조,2019-05-03,운영,화학공정,수소 폭발·화재,반응 생성 수소,비호환 화학물 혼합,미상 점화원,높음,불충분,수소 축적 후 점화·대형 폭발,사망 4명·시설 파괴,4,,CSB 사고조사,예,수소 축적 유사사례,0,1,0,0,1,0,https://www.csb.gov/ab-specialty-silicones-llc/,2026-07-26,반도체 사고가 아닌 유사 수소 위험 사례.
SC06,미국,반도체 팹 확장,,건설,벌크가스·화학물 저장,누출·화재 잠재,용접가스·도료·접착제·희석제·용제,임시 저장·이송 중 누출,화기·전기,조건 의존,조건 의존,저장 격리·환기·배수에 따라 국부 누출에서 화재 확산,환경평가 예상 위험,,,NIST 환경평가,아니오,건설 시나리오 생성,1,1,1,1,,0,https://www.nist.gov/system/files/documents/2024/06/28/Final%20PEA%20for%20Modernization%20and%20Expansion%20of%20Semiconductor%20Fabs%206-28-2024%20-%20OGC-508C.pdf,2026-07-26,사고 기록이 아니라 예상 위험.
SC07,대한민국,가스취급,,공통,누출원 인접,즉시점화 가스화재,가연성가스,누출 즉시 점화,누출원 주변 점화원,국부,조건 의존,혼합기 형성 전 누출부 확산화염·정재화염,물리 시나리오,,,KOSHA 연구보고서,아니오,확산 모드 라벨,0,1,0,0,0,0,https://oshri.kosha.or.kr/oshri/publication/researchReportSearch.do?articleNo=438654&attachNo=247549&mode=download,2026-07-26,특정 물질·누출량·풍속에 대한 정량값 없음.
SC08,대한민국,가스취급,,공통,밀폐·반밀폐,지연점화 가스폭발,가연성가스,누출 후 혼합기 형성,지연 점화원,높음,불충분,가연성 예혼합기 형성 후 화염전파·폭발,물리 시나리오,,,KOSHA 연구보고서,아니오,폭발 모드 라벨,0,1,0,0,1,0,https://oshri.kosha.or.kr/oshri/publication/researchReportSearch.do?articleNo=438654&attachNo=247549&mode=download,2026-07-26,정량 확률로 사용 금지.
SC09,대한민국,건설,,건설,도장·방수,화재·폭발 잠재,유성페인트·에폭시·폴리머,증기 발생·관리 미흡,용접·전기·정전기,조건 의존,환기 중요,증기 체류 후 점화 시 화재·폭발,KOSHA 연구의 기인물 범주,,,KOSHA 연구보고서,아니오,구역 위험가중치 근거,1,1,1,1,,0,https://oshri.kosha.or.kr/oshri/publication/researchReportSearch.do?articleNo=63382&attachNo=&mode=view,2026-07-26,개별 사고가 아닌 10년 통계·위험성 연구 요약.
SC10,미국,반도체 연구시설,,가스 인수·교체,가스 캐비닛·반입동선,압축가스 누출 잠재,실란·암모니아 등 HPM,실린더 배송·교체 중 누출,공기 접촉·기타 점화원,국부,배기 시스템 의존,배송구역·캐비닛 배기·공정장비 배기·주변공기 감시 필요,NIST 비상대응 프로그램,,,NIST 시설 안전매뉴얼,아니오,센서 후보 위치 근거,0,1,1,0,0,1,https://www.nist.gov/document/cleanroomsafetymanualpdf,2026-07-26,연구시설 운영사례이며 대형 팹 건설현장과 규모가 다름.
